"","chip","num.on.pwm","piqauc","dgfauc","centipedeauc","piqppv100","piqppv500","piqppv1000","dgfppv100","dgfppv500","dgfppv1000","centipedeppv100","centipedeppv500","centipedeppv1000","piqsens1000","piqsens5000","piqsens10000","dgfsens1000","dgfsens5000","dgfsens10000","centipedesens1000","centipedesens5000","centipedesens10000"
"1","Atf3V0416101PkRep1",391,0.956171378344772,0.869656860077406,0.874503866400751,0.69,0.584,0.591,0.5,0.546,0.593,0.69,0.67,0.613,0.122,0.0774,0.0523,0.134,0.0806,0.0538,0.128,0.0764,0.052
"2","Atf3V0416101PkRep2",127,0.938186268428085,0.714371055222758,0.81041761838545,0.45,0.218,0.145,0.14,0.182,0.093,0.45,0.214,0.139,0.022,0.0116,0.0085,0.02,0.0102,0.0076,0.022,0.011,0.0084
"3","Bcl3Pcr1xPkRep1",164,0.862575772442272,0.576772343396749,0.746675442835534,0.2,0.054,0.038,0.01,0.008,0.005,0.2,0.054,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Bcl3Pcr1xPkRep2",561,0.816034464408509,0.61093034587137,0.597724032872256,0.14,0.11,0.085,0.03,0.038,0.031,0.16,0.114,0.085,0.193,NA,NA,0.174,NA,NA,0.163,NA,NA
"5","Bclaf101388Pcr1xPkRep1",428,0.917346163733578,0.750892803793265,0.63976705591053,0.24,0.166,0.156,0.06,0.052,0.058,0.26,0.172,0.128,0.086,NA,NA,0.075,NA,NA,0.061,NA,NA
"6","Bclaf101388Pcr1xPkRep2",970,0.933224380984302,0.649236377692914,0.900641998168347,0.13,0.156,0.143,0.06,0.036,0.033,0.13,0.156,0.143,0.244,NA,NA,0.211,NA,NA,0.255,NA,NA
"7","Cbx3sc101004V0422111PkRep1",764,0.931539689557638,0.835688306133383,0.463050359753674,0.98,0.972,0.929,0.54,0.704,0.762,0.44,0.108,0.197,0.035,0.0304,0.0265,0.033,0.0302,0.0265,0.016,0.0154,0.0124
"8","Cbx3sc101004V0422111PkRep2",110,0.898594582805109,0.764792549880269,0.775795517023587,0.54,0.254,0.147,0.1,0.19,0.105,0.53,0.236,0.122,0.008,0.0122,0.0089,0.008,0.0104,0.0075,0.007,0.0114,0.0086
"9","Cebpbsc150V0422111PkRep1",216,0.878032962481015,0.742938952324766,0.641801151190312,0.72,0.464,0.332,0.28,0.334,0.261,0.7,0.414,0.219,0.017,0.0158,0.012,0.015,0.013,0.0102,0.012,0.0112,0.009
"10","Cebpbsc150V0422111PkRep2",686,0.88574024508248,0.660203744774927,0.819929376814549,0.39,0.248,0.19,0.02,0.052,0.064,0.39,0.238,0.19,0.064,0.0426,0.0333,0.06,0.0388,0.0315,0.06,0.0394,0.0299
"11","Cebpdsc636V0422111PkRep1",1745,0.948607388712413,0.682628830162487,0.925532399664328,0.73,0.624,0.569,0.24,0.204,0.213,0.73,0.632,0.581,0.178,0.1246,0.1016,0.124,0.0894,0.0743,0.177,0.1212,0.0973
"12","Cebpdsc636V0422111PkRep2",1267,0.94822242705505,0.663277084704175,0.917649729697072,0.41,0.406,0.382,0.18,0.136,0.146,0.41,0.418,0.39,0.179,0.1244,NA,0.13,0.091,NA,0.177,0.1202,NA
"13","Creb1sc240V0422111PkRep1",866,0.951648629939865,0.867778893567457,0.790893887222709,0.68,0.662,0.608,0.18,0.19,0.219,0.67,0.652,0.59,0.185,0.1728,NA,0.179,0.1654,NA,0.168,0.1574,NA
"14","Creb1sc240V0422111PkRep2",2837,NA,NA,NA,0.39,0.396,0.394,0.12,0.094,0.102,0.39,0.396,0.394,0.304,0.2754,NA,0.225,0.2132,NA,0.29,0.2702,NA
"15","CtcfcPcr1xPkRep1",1450,0.874396250210032,0.669472375160244,0.843253876978757,0.94,0.848,0.793,0.38,0.47,0.495,0.89,0.62,0.405,0.041,0.0468,0.0455,0.037,0.0396,0.039,0.032,0.0304,0.0256
"16","CtcfcPcr1xPkRep1V2",4741,NA,NA,NA,0.2,0.152,0.152,0.14,0.172,0.161,0.19,0.152,0.149,0.045,0.0372,0.0338,0.044,0.0372,0.0363,0.044,0.036,0.0335
"17","CtcfcPcr1xPkRep2",1562,0.879347030319906,0.678424478905034,0.855972326607447,0.93,0.88,0.85,0.46,0.53,0.549,0.89,0.64,0.404,0.051,0.0552,0.0521,0.048,0.0512,0.0485,0.048,0.0384,0.0314
"18","Ctcflsc98982V0416101PkRep1",158,0.913913611942935,0.802064189453999,0.804015275486067,0.05,0.078,0.068,0.03,0.034,0.037,0.05,0.084,0.065,0.056,0.03,NA,0.049,0.0274,NA,0.046,0.0252,NA
"19","Ctcflsc98982V0416101PkRep2",289,0.922636985478855,0.714134196473331,0.86792819538319,0.53,0.318,0.255,0.06,0.104,0.121,0.47,0.226,0.138,0.02,0.0252,0.0258,0.016,0.0192,0.0204,0.016,0.0134,0.0131
"20","E2f6sc22823V0416102PkRep1",163,0.937615135950249,0.696373167663038,0.833020790914825,0.43,0.318,0.223,0.18,0.186,0.135,0.46,0.262,0.182,0.028,0.0204,0.0158,0.017,0.0148,0.0103,0.02,0.015,0.0115
"21","E2f6sc22823V0416102PkRep2",409,0.939616516403379,0.879061243477738,0.840045396144912,0.73,0.568,0.59,0.53,0.568,0.592,0.74,0.672,0.626,0.027,0.031,0.0276,0.03,0.0332,0.0297,0.031,0.0324,0.0284
"22","E2f6V0416102PkRep1",163,0.937615135950249,0.700558840672947,0.833020790914825,0.43,0.318,0.223,0.18,0.186,0.135,0.46,0.262,0.182,0.028,0.0204,0.0158,0.017,0.0148,0.0103,0.02,0.015,0.0115
"23","E2f6V0416102PkRep2",409,0.939616516403379,0.876271529096119,0.840045396144912,0.73,0.568,0.59,0.53,0.568,0.592,0.74,0.672,0.626,0.027,0.031,0.0276,0.03,0.0332,0.0297,0.031,0.0324,0.0284
"24","Egr1V0416101PkRep1",396,0.925284726449804,0.862045831161134,0.817305988132595,0.64,0.56,0.528,0.37,0.506,0.545,0.66,0.654,0.564,0.028,0.0266,0.022,0.033,0.029,0.0239,0.028,0.0266,0.0228
